Date,SGD_GDP_Billions,USD_GDP_Billions,Singapore,USA,SG_Interest_Rate,US_Interest_Rate,SP500,STI,ExchangeRate,Daily Exports(millions),Daily Imports(millions),Daily Balance(millions),FOREIGN RESERVES (US$ MILLION),GoldPrice,DXI
2009-11-24,77.35198889,14718.00603,1.03,1.62,0.2,0.12,1105.7,2779.97998,1.3857,63.27,40.03,23.24333333333333,188063.69,1165.8,75.190002
2009-11-25,77.3658,14719.2656,1.03,1.62,0.2,0.12,1110.6,2792.840088,1.379,63.27,40.03,23.24333333333333,188027.32,1187.0,75.040001
2009-11-27,77.39342222,14721.78473,1.03,1.62,0.2,0.12,1091.5,,1.3888,63.27,40.03,23.24333333333333,187954.58,1175.5,74.779999
2009-11-30,77.43485556,14725.56343,1.03,1.62,0.2,0.12,1095.6,2732.120117,1.3821,63.27,40.03,23.24333333333333,187845.47,1182.3,74.860001
2009-12-01,77.44866667,14726.823,1.03,1.62,0.16,0.12,1108.9,2770.949951,1.3805,68.54516129032258,43.403225806451616,25.141935483870967,187809.1,1200.2,74.709999
2009-12-02,77.46203226,14728.04194,1.03,1.62,0.16,0.12,1109.2,2796.340088,1.3802,68.54516129032258,43.403225806451616,25.141935483870967,187867.47096774197,1213.0,74.400002
2009-12-03,77.47539785,14729.26087,1.03,1.62,0.16,0.12,1099.9,2808.179932,1.3818,68.54516129032258,43.403225806451616,25.141935483870967,187925.84193548388,1218.3,74.529999
2009-12-04,77.48876344,14730.47981,1.03,1.62,0.16,0.12,1106.0,2791.01001,1.3893,68.54516129032258,43.403225806451616,25.141935483870967,187984.21290322585,1169.5,74.779999
2009-12-07,77.52886022,14734.13661,1.03,1.62,0.16,0.12,1103.2,2796.97998,1.3896,68.54516129032258,43.403225806451616,25.141935483870967,188159.3258064516,1164.0,75.650002
2009-12-08,77.54222581,14735.35555,1.03,1.62,0.16,0.12,1091.9,2805.5,1.3944,68.54516129032258,43.403225806451616,25.141935483870967,188217.69677419355,1143.4,75.75
2009-12-09,77.5555914,14736.57448,1.03,1.62,0.16,0.12,1096.0,2797.209961,1.3908,68.54516129032258,43.403225806451616,25.141935483870967,188276.0677419355,1120.9,76.279999
2009-12-10,77.56895699,14737.79342,1.03,1.62,0.16,0.12,1102.3,2781.860107,1.3895,68.54516129032258,43.403225806451616,25.141935483870967,188334.43870967743,1126.2,75.980003
2009-12-11,77.58232258,14739.01235,1.03,1.62,0.16,0.12,1106.4,2800.75,1.3918,68.54516129032258,43.403225806451616,25.141935483870967,188392.80967741937,1119.9,76.019997
2009-12-14,77.62241935,14742.66916,1.03,1.62,0.16,0.12,1114.1,2799.540039,1.3909,68.54516129032258,43.403225806451616,25.141935483870967,188567.9225806452,1123.8,76.57
2009-12-15,77.63578495,14743.8881,1.03,1.62,0.16,0.12,1107.9,2798.699951,1.3954,68.54516129032258,43.403225806451616,25.141935483870967,188626.2935483871,1123.0,76.349998
2009-12-16,77.64915054,14745.10703,1.03,1.62,0.16,0.12,1109.2,2813.929932,1.3974,68.54516129032258,43.403225806451616,25.141935483870967,188684.66451612904,1136.2,76.940002
2009-12-17,77.66251613,14746.32597,1.03,1.62,0.16,0.12,1096.1,2813.27002,1.4039,68.54516129032258,43.403225806451616,25.141935483870967,188743.03548387095,1107.4,76.949997
2009-12-18,77.67588172,14747.5449,1.03,1.62,0.16,0.12,1102.5,2802.590088,1.4029,68.54516129032258,43.403225806451616,25.141935483870967,188801.4064516129,1111.5,77.739998
2009-12-21,77.71597849,14751.20171,1.03,1.62,0.16,0.12,1114.0,2786.810059,1.4063,68.54516129032258,43.403225806451616,25.141935483870967,188976.5193548387,1096.0,77.779999
2009-12-22,77.72934409,14752.42065,1.03,1.62,0.16,0.12,1118.0,2823.820068,1.4075,68.54516129032258,43.403225806451616,25.141935483870967,189034.89032258064,1086.7,78.040001
2009-12-23,77.74270968,14753.63958,1.03,1.62,0.16,0.12,1120.6,2841.560059,1.4088,68.54516129032258,43.403225806451616,25.141935483870967,189093.26129032255,1094.0,78.25
2009-12-24,77.75607527,14754.85852,1.03,1.62,0.16,0.12,1126.5,,1.4077,68.54516129032258,43.403225806451616,25.141935483870967,189151.6322580645,1104.8,77.889999
2009-12-28,77.80953763,14759.73426,1.03,1.62,0.16,0.12,1127.8,2855.679932,1.4051,68.54516129032258,43.403225806451616,25.141935483870967,189385.11612903228,1107.9,77.739998
2009-12-29,77.82290323,14760.95319,1.03,1.62,0.16,0.12,1126.2,2869.76001,1.4055,68.54516129032258,43.403225806451616,25.141935483870967,189443.4870967742,1098.1,77.699997
2009-12-30,77.83626882,14762.17213,1.03,1.62,0.16,0.12,1126.4,2879.76001,1.4048,68.54516129032258,43.403225806451616,25.141935483870967,189501.85806451613,1092.5,77.879997
2009-12-31,77.84963441,14763.39106,1.03,1.62,0.16,0.12,1115.1,,1.4048,68.54516129032258,43.403225806451616,25.141935483870967,189560.22903225807,1096.2,77.889999
2010-01-04,77.9697871,14771.56429,2.36,1.46,0.13,0.11,1133.0,2894.550049,1.3976,68.79677419354839,41.68709677419355,27.10967741935484,189445.9258064516,1118.3,77.93
2010-01-05,78.0053828,14773.88239,2.36,1.46,0.13,0.11,1136.5,2920.280029,1.397,68.79677419354839,41.68709677419355,27.10967741935484,189388.36774193548,1118.7,77.370003
2010-01-06,78.04097849,14776.20048,2.36,1.46,0.13,0.11,1137.1,2930.48999,1.3937,68.79677419354839,41.68709677419355,27.10967741935484,189330.80967741937,1136.5,77.650002
2010-01-07,78.07657419,14778.51858,2.36,1.46,0.13,0.11,1141.7,2913.25,1.3976,68.79677419354839,41.68709677419355,27.10967741935484,189273.25161290323,1133.7,77.370003
2010-01-08,78.11216989,14780.83668,2.36,1.46,0.13,0.11,1145.0,2922.76001,1.3946,68.79677419354839,41.68709677419355,27.10967741935484,189215.6935483871,1138.9,77.980003
2010-01-11,78.21895699,14787.79097,2.36,1.46,0.13,0.11,1147.0,2933.530029,1.3885,68.79677419354839,41.68709677419355,27.10967741935484,189043.0193548387,1151.4,77.209999
2010-01-12,78.25455269,14790.10906,2.36,1.46,0.13,0.11,1136.2,2916.110107,1.3916,68.79677419354839,41.68709677419355,27.10967741935484,188985.4612903226,1129.4,77.089996
2010-01-13,78.29014839,14792.42716,2.36,1.46,0.13,0.11,1145.7,2888.379883,1.388,68.79677419354839,41.68709677419355,27.10967741935484,188927.90322580645,1136.8,77.120003
2010-01-14,78.32574409,14794.74526,2.36,1.46,0.13,0.11,1148.5,2909.52002,1.3877,68.79677419354839,41.68709677419355,27.10967741935484,188870.34516129032,1143.0,76.790001
2010-01-15,78.36133978,14797.06335,2.36,1.46,0.13,0.11,1136.0,2908.419922,1.3907,68.79677419354839,41.68709677419355,27.10967741935484,188812.7870967742,1130.5,76.779999
2010-01-19,78.50372258,14806.33574,2.36,1.46,0.13,0.11,1150.2,2912.919922,1.3908,68.79677419354839,41.68709677419355,27.10967741935484,188582.55483870968,1140.6,76.980003
2010-01-20,78.53931828,14808.65384,2.36,1.46,0.13,0.11,1138.0,2893.129883,1.3995,68.79677419354839,41.68709677419355,27.10967741935484,188524.99677419357,1112.6,77.580002
2010-01-21,78.57491398,14810.97194,2.36,1.46,0.13,0.11,1116.5,2850.97998,1.4045,68.79677419354839,41.68709677419355,27.10967741935484,188467.4387096774,1103.2,78.269997
2010-01-22,78.61050968,14813.29003,2.36,1.46,0.13,0.11,1091.8,2819.709961,1.4051,68.79677419354839,41.68709677419355,27.10967741935484,188409.8806451613,1089.7,78.389999
2010-01-25,78.71729677,14820.24432,2.36,1.46,0.13,0.11,1096.8,2811.709961,1.3994,68.79677419354839,41.68709677419355,27.10967741935484,188237.2064516129,1095.7,78.220001
2010-01-26,78.75289247,14822.56242,2.36,1.46,0.13,0.11,1092.2,2740.330078,1.4028,68.79677419354839,41.68709677419355,27.10967741935484,188179.6483870968,1098.3,78.169998
2010-01-27,78.78848817,14824.88052,2.36,1.46,0.13,0.11,1097.5,2706.26001,1.4053,68.79677419354839,41.68709677419355,27.10967741935484,188122.09032258065,1084.5,78.550003
2010-01-28,78.82408387,14827.19861,2.36,1.46,0.13,0.11,1084.5,2757.679932,1.4044,68.79677419354839,41.68709677419355,27.10967741935484,188064.5322580645,1084.8,78.660004
2010-01-29,78.85967957,14829.51671,2.36,1.46,0.13,0.11,1073.9,2745.350098,1.4074,68.79677419354839,41.68709677419355,27.10967741935484,188006.9741935484,1083.8,78.989998
2010-02-01,78.96646667,14836.471,2.36,1.46,0.29,0.13,1089.2,2736.169922,1.4094,78.34285714285714,37.864285714285714,40.47857142857144,187834.3,1105.0,79.43
2010-02-02,79.00587619,14839.03746,2.36,1.46,0.29,0.13,1103.3,2720.870117,1.4074,78.34285714285714,37.864285714285714,40.47857142857144,188165.62857142856,1118.0,79.230003
2010-02-03,79.04528571,14841.60393,2.36,1.46,0.29,0.13,1097.3,2764.840088,1.4121,78.34285714285714,37.864285714285714,40.47857142857144,188496.95714285717,1112.0,78.980003
2010-02-04,79.08469524,14844.17039,2.36,1.46,0.29,0.13,1063.1,2744.97998,1.4207,78.34285714285714,37.864285714285714,40.47857142857144,188828.2857142857,1063.0,79.349998
2010-02-05,79.12410476,14846.73686,2.36,1.46,0.29,0.13,1066.2,2683.560059,1.4223,78.34285714285714,37.864285714285714,40.47857142857144,189159.61428571428,1052.8,79.980003
2010-02-08,79.24233333,14854.43625,2.36,1.46,0.29,0.13,1056.7,2693.620117,1.4234,78.34285714285714,37.864285714285714,40.47857142857144,190153.6,1066.2,80.419998
2010-02-09,79.28174286,14857.00271,2.36,1.46,0.29,0.13,1070.5,2745.02002,1.4168,78.34285714285714,37.864285714285714,40.47857142857144,190484.92857142852,1077.2,80.339996
2010-02-10,79.32115238,14859.56918,2.36,1.46,0.29,0.13,1068.1,2734.389893,1.418,78.34285714285714,37.864285714285714,40.47857142857144,190816.25714285712,1076.3,79.809998
2010-02-11,79.3605619,14862.13564,2.36,1.46,0.29,0.13,1078.5,2753.629883,1.4126,78.34285714285714,37.864285714285714,40.47857142857144,191147.5857142857,1094.7,79.940002
2010-02-12,79.39997143,14864.70211,2.36,1.46,0.29,0.13,1075.5,2758.899902,1.4114,78.34285714285714,37.864285714285714,40.47857142857144,191478.91428571427,1090.0,80.019997
2010-02-16,79.55760952,14874.96796,2.36,1.46,0.29,0.13,1094.9,,1.4046,78.34285714285714,37.864285714285714,40.47857142857144,192804.22857142857,1119.8,80.389999
2010-02-17,79.59701905,14877.53443,2.36,1.46,0.29,0.13,1099.5,2794.060059,1.406,78.34285714285714,37.864285714285714,40.47857142857144,193135.55714285717,1120.1,79.639999
2010-02-18,79.63642857,14880.10089,2.36,1.46,0.29,0.13,1106.8,2769.189941,1.4142,78.34285714285714,37.864285714285714,40.47857142857144,193466.8857142857,1118.7,80.449997
2010-02-19,79.6758381,14882.66736,2.36,1.46,0.29,0.13,1109.2,2757.139893,1.4116,78.34285714285714,37.864285714285714,40.47857142857144,193798.2142857143,1122.1,81.25
2010-02-22,79.79406667,14890.36675,2.36,1.46,0.29,0.13,1108.0,2757.459961,1.4099,78.34285714285714,37.864285714285714,40.47857142857144,194792.2,1113.1,80.480003
2010-02-23,79.83347619,14892.93321,2.36,1.46,0.29,0.13,1094.6,2782.550049,1.4105,78.34285714285714,37.864285714285714,40.47857142857144,195123.52857142856,1103.2,80.510002
2010-02-24,79.87288571,14895.49968,2.36,1.46,0.29,0.13,1105.2,2762.139893,1.4095,78.34285714285714,37.864285714285714,40.47857142857144,195454.85714285716,1097.2,80.889999
2010-02-25,79.91229524,14898.06614,2.36,1.46,0.29,0.13,1102.9,2749.149902,1.409,78.34285714285714,37.864285714285714,40.47857142857144,195786.1857142857,1108.5,80.779999
2010-02-26,79.95170476,14900.63261,2.36,1.46,0.29,0.13,1104.5,2750.860107,1.4063,78.34285714285714,37.864285714285714,40.47857142857144,196117.51428571428,1118.9,80.769997
2010-03-01,80.06993333,14908.332,2.36,1.46,0.19,0.16,1115.7,2774.060059,1.4047,85.76129032258065,42.65483870967742,43.10967741935484,197111.5,1118.3,80.330002
2010-03-02,80.10552903,14910.6501,2.36,1.46,0.19,0.16,1118.3,2772.199951,1.4011,85.76129032258065,42.65483870967742,43.10967741935484,197315.5258064516,1137.4,80.760002
2010-03-03,80.14112473,14912.96819,2.36,1.46,0.19,0.16,1118.8,2782.790039,1.3997,85.76129032258065,42.65483870967742,43.10967741935484,197519.5516129032,1143.3,80.349998
2010-03-04,80.17672043,14915.28629,2.36,1.46,0.19,0.16,1123.0,2768.699951,1.4018,85.76129032258065,42.65483870967742,43.10967741935484,197723.57741935484,1133.1,80.050003
2010-03-05,80.21231613,14917.60439,2.36,1.46,0.19,0.16,1138.7,2790.290039,1.402,85.76129032258065,42.65483870967742,43.10967741935484,197927.60322580644,1135.2,80.529999
2010-03-08,80.31910323,14924.55868,2.36,1.46,0.19,0.16,1138.5,2834.570068,1.3998,85.76129032258065,42.65483870967742,43.10967741935484,198539.68064516128,1124.0,80.400002
2010-03-09,80.35469892,14926.87677,2.36,1.46,0.19,0.16,1140.5,2839.540039,1.3987,85.76129032258065,42.65483870967742,43.10967741935484,198743.7064516129,1122.3,80.510002
2010-03-10,80.39029462,14929.19487,2.36,1.46,0.19,0.16,1145.6,2862.290039,1.3979,85.76129032258065,42.65483870967742,43.10967741935484,198947.73225806453,1108.1,80.559998
2010-03-11,80.42589032,14931.51297,2.36,1.46,0.19,0.16,1150.2,2873.909912,1.3979,85.76129032258065,42.65483870967742,43.10967741935484,199151.7580645161,1108.2,80.459999
2010-03-12,80.46148602,14933.83106,2.36,1.46,0.19,0.16,1150.0,2881.360107,1.3943,85.76129032258065,42.65483870967742,43.10967741935484,199355.78387096772,1101.7,80.269997
2010-03-15,80.56827312,14940.78535,2.36,1.46,0.19,0.16,1150.5,2874.330078,1.3976,85.76129032258065,42.65483870967742,43.10967741935484,199967.8612903226,1105.4,79.830002
2010-03-16,80.60386882,14943.10345,2.36,1.46,0.19,0.16,1159.5,2896.429932,1.3944,85.76129032258065,42.65483870967742,43.10967741935484,200171.88709677415,1122.5,80.220001
2010-03-17,80.63946452,14945.42155,2.36,1.46,0.19,0.16,1166.2,2919.300049,1.3931,85.76129032258065,42.65483870967742,43.10967741935484,200375.9129032258,1124.2,79.709999
2010-03-18,80.67506022,14947.73965,2.36,1.46,0.19,0.16,1165.8,2913.939941,1.3955,85.76129032258065,42.65483870967742,43.10967741935484,200579.9387096774,1127.5,79.75
2010-03-19,80.71065591,14950.05774,2.36,1.46,0.19,0.16,1159.9,2915.699951,1.3987,85.76129032258065,42.65483870967742,43.10967741935484,200783.96451612905,1107.6,80.290001
2010-03-22,80.81744301,14957.01203,2.36,1.46,0.19,0.16,1165.8,2889.179932,1.4004,85.76129032258065,42.65483870967742,43.10967741935484,201396.04193548387,1099.5,80.849998
2010-03-23,80.85303871,14959.33013,2.36,1.46,0.19,0.16,1174.2,2905.659912,1.4021,85.76129032258065,42.65483870967742,43.10967741935484,201600.0677419355,1103.7,80.57
2010-03-24,80.88863441,14961.64823,2.36,1.46,0.19,0.16,1167.7,2886.360107,1.4059,85.76129032258065,42.65483870967742,43.10967741935484,201804.09354838709,1088.8,80.940002
2010-03-25,80.92423011,14963.96632,2.36,1.46,0.19,0.16,1165.7,2888.370117,1.4074,85.76129032258065,42.65483870967742,43.10967741935484,202008.1193548387,1092.9,81.849998
2010-03-26,80.95982581,14966.28442,2.36,1.46,0.19,0.16,1166.6,2906.280029,1.4037,85.76129032258065,42.65483870967742,43.10967741935484,202212.1451612903,1104.3,82.18
2010-03-29,81.0666129,14973.23871,2.36,1.46,0.19,0.16,1173.2,2929.139893,1.3985,85.76129032258065,42.65483870967742,43.10967741935484,202824.22258064515,1110.3,81.449997
2010-03-30,81.1022086,14975.55681,2.36,1.46,0.19,0.16,1173.3,2933.389893,1.3992,85.76129032258065,42.65483870967742,43.10967741935484,203028.2483870968,1105.7,81.25
2010-03-31,81.1378043,14977.8749,2.36,1.46,0.19,0.16,1169.4,2887.459961,1.3988,85.76129032258065,42.65483870967742,43.10967741935484,203232.2741935484,1114.5,81.459999
2010-04-01,81.1734,14980.193,2.36,1.46,0.07,0.2,1178.1,2943.02002,1.3975,76.26,46.36666666666667,29.89333333333333,203436.3,1126.1,81.040001
2010-04-05,81.20343556,14987.36696,2.36,1.46,0.07,0.2,1187.4,2968.379883,1.3976,76.26,46.36666666666667,29.89333333333333,202759.2733333333,1133.8,81.150002
